,year,eps_value,ticker
12,2009,$2.66,NEM
0,2022,$1.05,NWSA
1,2021,$0.56,NWSA
2,2020,$-2.16,NWSA
3,2019,$0.26,NWSA
4,2018,$-2.60,NWSA
5,2017,$-1.27,NWSA
6,2016,$0.30,NWSA
7,2015,$-0.26,NWSA
8,2014,$0.41,NWSA
9,2013,$0.87,NWSA
10,2012,$-3.58,NWSA
11,2011,$1.17,NWSA
0,2022,$1.05,NWS
1,2021,$0.56,NWS
2,2020,$-2.16,NWS
3,2019,$0.26,NWS
4,2018,$-2.60,NWS
5,2017,$-1.27,NWS
6,2016,$0.30,NWS
7,2015,$-0.26,NWS
8,2014,$0.41,NWS
9,2013,$0.87,NWS
10,2012,$-3.58,NWS
11,2011,$1.17,NWS
0,2021,$1.81,NEE
1,2020,$1.48,NEE
2,2019,$1.94,NEE
3,2018,$3.47,NEE
4,2017,$2.85,NEE
5,2016,$1.56,NEE
6,2015,$1.52,NEE
7,2014,$1.40,NEE
8,2013,$1.12,NEE
9,2012,$1.14,NEE
10,2011,$1.15,NEE
11,2010,$1.19,NEE
12,2009,$0.99,NEE
0,2022,$3.75,NKE
1,2021,$3.56,NKE
2,2020,$1.60,NKE
3,2019,$2.49,NKE
4,2018,$1.17,NKE
5,2017,$2.51,NKE
6,2016,$2.16,NKE
7,2015,$1.85,NKE
8,2014,$1.49,NKE
9,2013,$1.35,NKE
10,2012,$1.18,NKE
11,2011,$1.10,NKE
12,2010,$0.97,NKE
13,2009,$0.76,NKE
0,2021,$1.27,NI
1,2020,$-0.19,NI
2,2019,$0.87,NI
3,2018,$-0.18,NI
4,2017,$0.39,NI
5,2016,$1.02,NI
6,2015,$0.90,NI
7,2014,$1.67,NI
8,2013,$1.70,NI
9,2012,$1.39,NI
10,2011,$1.03,NI
11,2010,$1.01,NI
12,2009,$0.78,NI
0,2021,$7.74,NDSN
1,2020,$4.27,NDSN
2,2019,$5.79,NDSN
3,2018,$6.40,NDSN
4,2017,$5.08,NDSN
5,2016,$4.73,NDSN
6,2015,$3.45,NDSN
7,2014,$3.84,NDSN
8,2013,$3.42,NDSN
9,2012,$3.45,NDSN
10,2011,$3.25,NDSN
11,2010,$2.46,NDSN
12,2009,$-2.38,NDSN
0,2021,$12.11,NSC
1,2020,$7.84,NSC
2,2019,$10.25,NSC
3,2018,$9.51,NSC
4,2017,$18.61,NSC
5,2016,$5.62,NSC
6,2015,$5.10,NSC
7,2014,$6.39,NSC
8,2013,$6.04,NSC
9,2012,$5.37,NSC
10,2011,$5.45,NSC
11,2010,$4.00,NSC
12,2009,$2.76,NSC
0,2021,$7.14,NTRS
