,Total_value_todate,Return_without_trailing,Return_trailing_12m
2019-12-18,13190.86036944217,131.90860369442169,102.17755778696336
2019-12-19,13158.62973610663,131.5862973610663,100.80363557425862
2019-12-20,13289.134344555077,132.89134344555077,101.48827878334387
2019-12-24,13266.005292446536,132.66005292446536,101.34043146182987
2019-12-26,13291.94888233854,132.9194888233854,103.82658492045955
2019-12-27,13334.276056242355,133.34276056242356,103.31989044139492
2019-12-31,13210.81305040978,132.1081305040978,101.30026316720604
2020-01-02,13322.8331219394,133.22833121939402,102.63612470671899
2020-01-03,13193.038719928152,131.9303871992815,101.58545308645056
2020-01-07,13236.669814130844,132.36669814130843,101.77658465431098
2020-01-08,13268.722991024382,132.68722991024381,101.77271443477996
2020-01-09,13377.131248014279,133.77131248014277,101.08972659477111
2020-01-10,13420.474770953177,134.20474770953177,101.74070830165809
2020-01-14,13449.739372428952,134.49739372428954,102.2123096565559
2020-01-15,13445.51432570274,134.45514325702737,101.1767506979244
2020-01-16,13539.541388219164,135.39541388219166,102.06193265977646
2020-01-17,13643.417413459649,136.43417413459647,102.6442212066292
2020-01-22,13670.308212511578,136.70308212511577,102.52006299293551
2020-01-23,13603.413938069893,136.03413938069892,102.97181472602803
2020-01-24,13723.047915722476,137.23047915722478,103.00397663259793
2020-01-28,13380.782425516189,133.80782425516188,101.42305127403628
2020-01-29,13526.07576652415,135.2607576652415,102.18639549416237
2020-01-30,13390.330022639111,133.9033002263911,100.91649386076557
2020-01-31,13468.681859790295,134.68681859790294,100.68438150212218
2020-02-04,13469.282620862565,134.69282620862563,100.36368199145254
2020-02-05,13628.209810951685,136.28209810951682,101.32694347139979
2020-02-06,13623.390014786988,136.2339001478699,101.32293703889196
2020-02-07,13614.877330520394,136.14877330520395,100.55641428421482
2020-02-11,13768.313007547831,137.68313007547832,100.91542749373752
2020-02-12,13751.320986580273,137.51320986580274,100.59261848971737
2020-02-13,13738.923326779299,137.389233267793,100.99614250750817
2020-02-14,13871.817369914676,138.71817369914677,101.0840846370707
2020-02-19,14009.751004365333,140.09751004365333,104.70053662669044
